rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:49F3htNmwzPKFycPdOrDvf","OFFICIAL HIGE DANDISM","Subtitle","IRORI Records",1,1,20,"2251355"
2,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","SDR Inc.",2,2,117,"1865660"
3,"spotify:track:3khEEPRyBeOUabbmOPJzAG","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",1,3,20,"1755526"
4,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",4,4,10,"1423371"
5,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,6,61,"1379767"
6,"spotify:track:6zjk7Qbwb9DZ4ykUUoqknh","10-FEET","第ゼロ感","Universal Music LLC",5,5,12,"1372365"
7,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",7,7,8,"1361691"
8,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,8,39,"1349917"
9,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,11,72,"1228893"
10,"spotify:track:2wgYCc1xORV5CI8psWTroo","OFFICIAL HIGE DANDISM","ホワイトノイズ","IRORI Records",8,9,7,"1205497"
11,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","新時代","Universal Music LLC",1,10,37,"1203947"
12,"spotify:track:34ayWAUrQcrjlKZOJAzqke","back number","アイラブユー","Universal Music LLC",12,14,18,"1203935"
13,"spotify:track:2Dzzhb1oV5ckgOjWZLraIB","natori","Overdose","なとり",2,12,24,"1178292"
14,"spotify:track:6O4twzzHHIM6mmTqPpJNYE","Mrs. GREEN APPLE","Soranji","Universal Music LLC",13,13,18,"1166747"
15,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,16,68,"1139501"
16,"spotify:track:3RvdkNMcSy71m0aT6UF9Uf","back number","水平線","Universal Music LLC",1,17,80,"1080919"
17,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,18,68,"1058998"
18,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,19,45,"1022832"
19,"spotify:track:0NUJhYxwcAAB4UQULseQyX","Macaroni Empitsu","リンジュー・ラヴ","Toy's Factory",19,23,6,"1006974"
20,"spotify:track:38DlSDrx9tgc5Gfq6y3aBa","TWICE","MOONLIGHT SUNRISE","WM Japan",13,15,5,"1004433"
21,"spotify:track:5YQNjKZofFhlBCIzTVY6rW","Ado","私は最強","Universal Music LLC",2,24,35,"998518"
22,"spotify:track:5MqZFxSAGTKqnUbBVLlkM5","yangskinny","本当はね、","ヤンスキ",8,21,19,"981498"
23,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,29,121,"978335"
24,"spotify:track:0L1E2JmrZk6QU9261PtJWQ","Yorushika","アルジャーノン","Universal Music LLC",24,52,3,"977296"
25,"spotify:track:2MmgGuQzr0kkiA04lMdPXW","MAISONdes, 花譜, ツミキ","トウキョウ・シャンディ・ランデヴ","Sony Music Labels Inc.",25,31,15,"966674"
26,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","OFFICIAL HIGE DANDISM","ミックスナッツ","IRORI Records",1,25,45,"955182"
27,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",19,26,19,"945758"
28,"spotify:track:2uMNMcjjUz8oNIxjIu20qE","SEKAI NO OWARI","Habit","Universal Music LLC",2,27,43,"939829"
29,"spotify:track:7ajpbW6tBpqUI9foCtwlLw","YOASOBI","祝福","YOASOBI",8,30,21,"932376"
30,"spotify:track:7KExqPOvjFzAI4d49mQxt9","Yuuri","ビリミリオン","Sony Music Labels Inc.",17,20,5,"929408"
31,"spotify:track:6ts1KCOudfDYXYfyWtq0k1","milet, Aimer, Lilas","おもかげ (produced by Vaundy)","THE FIRST TAKE MUSIC",8,22,62,"919482"
32,"spotify:track:3IelG5zYpWWCZIH4cqWlPV","XG","SHOOTING STAR","XGALX",28,28,4,"907904"
33,"spotify:track:6YCwX5jlAEFL775YJqgLqN","Vaundy","まぶた","SDR Inc.",19,32,7,"894301"
34,"spotify:track:2j7GjqDtsKbEhVq0Gw6a5Z","wacci","恋だろ","Sony Music Labels Inc.",15,33,35,"870026"
35,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,36,52,"863659"
36,"spotify:track:278JqkBGkjDovOYAwE8TW7","OFFICIAL HIGE DANDISM","115万キロのフィルム","LASTRUM",6,35,199,"859539"
37,"spotify:track:621pzEeNauLzgQrmVvCMEA","8LOOM","Melody","Virgin Music Label And Artist Services (S&D)",14,34,15,"836465"
38,"spotify:track:51oc6MEsXTpnPn6GOw5VuP","Fujii Kaze","きらり","Universal Music LLC",4,38,95,"820954"
39,"spotify:track:1sIIlVrnPhrvmTrHtzM7tV","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",19,40,197,"816611"
40,"spotify:track:1RChlirFdgtS1ZPH45dJX0","Tani Yuuki","もう一度","Valley Records",11,37,22,"813973"
41,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",22,39,148,"811651"
42,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas","スパークル","幾田りら",37,44,57,"808970"
43,"spotify:track:7fQYRdNX6y8BpfmHvWVPm8","Yuuri","恋人じゃなくなった日","Sony Music Labels Inc.",43,-1,1,"783842"
44,"spotify:track:0o9zmvc5f3EFApU52PPIyW","Fujii Kaze","死ぬのがいいわ","Universal Music LLC",7,41,27,"771909"
45,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,42,64,"767605"
46,"spotify:track:7ELIV5p6Irk5MHsazeAFv6","back number","ベルベットの詩","Universal Music LLC",23,43,26,"761210"
47,"spotify:track:39HrUxcvKF3jtLz7fUDWXc","Hikaru Utada","First Love","Universal Music LLC",16,45,73,"753610"
48,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",6,47,130,"745505"
49,"spotify:track:1uveEvgKX4irLcp1BUTIFD","yama","色彩","Sony Music Labels Inc.",14,48,21,"721771"
50,"spotify:track:2ZaTpgdhU8MKpiujnBGPoa","ZUTOMAYO, Mori Calliope","綺羅キラー","Universal Music LLC",11,46,10,"698142"
51,"spotify:track:3BjCtb7zq4Nn1riQhneMwo","LANA, Candee, ZOT on the WAVE","TURN IT UP - feat. Candee & ZOT on the WAVE","LANA MUSIC",51,58,2,"640158"
52,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",51,51,28,"623652"
53,"spotify:track:4oPCfEDVIKnPJ6UPkhJPCa","Kanaria","酔いどれ知らず","Kanaria",51,53,10,"601377"
54,"spotify:track:57MvUwzIzRJ0r21rnNU1s1","Vaundy","不可幸力","SDR Inc.",20,54,138,"595444"
55,"spotify:track:3kjByZ9bCHIxJR3nYofZEm","YU-KA","星月夜","Universal Music LLC",55,82,2,"560232"
56,"spotify:track:1w2tdCsX2yKFjbh3wHII94","YOASOBI","アドベンチャー","YOASOBI",56,-1,1,"540073"
57,"spotify:track:3lUOzabhWYyRImRszpJGOU","Vaundy","CHAINSAW BLOOD","Sony Music Labels Inc.",8,49,20,"536877"
58,"spotify:track:2PlbwoIVr25oita35jg9ht","Vaundy","花占い","SDR Inc.",18,55,86,"517074"
59,"spotify:track:37xJCjdzJ17S1jCDz3GwsB","BE:FIRST","Boom Boom Back","B-ME",59,89,2,"508674"
60,"spotify:track:4FMz2RFrbDGzJO7K4D0vS3","back number","HAPPY BIRTHDAY","Universal Music LLC",55,56,124,"506554"
61,"spotify:track:0tJ6d01rh2gTbpFlY1mYJZ","Mrs. GREEN APPLE","私は最強","Universal Music LLC",40,57,16,"498906"
62,"spotify:track:0Xn30nT5EKFPsWvpiJ2Iav","back number","オールドファッション","Universal Music LLC",58,59,64,"498126"
63,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","OFFICIAL HIGE DANDISM","Pretender","ポニーキャニオン",1,60,201,"490326"
