rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:49F3htNmwzPKFycPdOrDvf","OFFICIAL HIGE DANDISM","Subtitle","IRORI Records",1,1,12,"3243488"
2,"spotify:track:3khEEPRyBeOUabbmOPJzAG","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",1,2,12,"2335031"
3,"spotify:track:2Dzzhb1oV5ckgOjWZLraIB","natori","Overdose","なとり",2,3,16,"1746542"
4,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,4,53,"1699581"
5,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","新時代","Universal Music LLC",1,5,29,"1550100"
6,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,6,31,"1496004"
7,"spotify:track:5P8ZvBQoCrujjNcLAxO3Su","back number","クリスマスソング","Universal Music LLC",6,9,158,"1438486"
8,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,7,64,"1438257"
9,"spotify:track:6zjk7Qbwb9DZ4ykUUoqknh","10-FEET","第ゼロ感","Universal Music LLC",8,8,4,"1400065"
10,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,11,36,"1396977"
11,"spotify:track:2ZaTpgdhU8MKpiujnBGPoa","ZUTOMAYO, Mori Calliope","綺羅キラー","Universal Music LLC",11,14,2,"1270383"
12,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",12,54,2,"1213326"
13,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,12,60,"1212970"
14,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","OFFICIAL HIGE DANDISM","ミックスナッツ","IRORI Records",1,10,37,"1211107"
15,"spotify:track:5YQNjKZofFhlBCIzTVY6rW","Ado","私は最強","Universal Music LLC",2,13,27,"1185155"
16,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,15,60,"1159281"
17,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,17,37,"1115031"
18,"spotify:track:1RChlirFdgtS1ZPH45dJX0","Tani Yuuki","もう一度","Valley Records",11,16,14,"1114486"
19,"spotify:track:4Fh1CzvLHIUn26tjbZZ1mR","RADWIMPS","カナタハルカ","Universal Music LLC",8,18,9,"1080315"
20,"spotify:track:6O4twzzHHIM6mmTqPpJNYE","Mrs. GREEN APPLE","Soranji","Universal Music LLC",20,27,10,"1078479"
21,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,19,72,"1076675"
22,"spotify:track:4gbHag1jhjLTDcrbfpFnYQ","back number","アイラブユー","Universal Music LLC",20,20,10,"1058892"
23,"spotify:track:7ajpbW6tBpqUI9foCtwlLw","YOASOBI","祝福","YOASOBI",8,24,13,"1032776"
24,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","SDR Inc.",18,28,109,"1030625"
25,"spotify:track:1uveEvgKX4irLcp1BUTIFD","yama","色彩","Sony Music Labels Inc.",14,22,13,"1016475"
26,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,30,113,"986908"
27,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",19,21,11,"983103"
28,"spotify:track:1g6Elo93E6SecrU4iVJXpA","Yuuri","クリスマスイブ","Sony Music Labels Inc.",23,23,4,"978718"
29,"spotify:track:7qOsSOpiL3R8RKyiBtIYNQ","BUMP OF CHICKEN","SOUVENIR","Toy's Factory",10,29,13,"950113"
30,"spotify:track:278JqkBGkjDovOYAwE8TW7","OFFICIAL HIGE DANDISM","115万キロのフィルム","LASTRUM",6,31,191,"946174"
31,"spotify:track:621pzEeNauLzgQrmVvCMEA","8LOOM","Melody","Virgin Music Label And Artist Services (S&D)",31,51,7,"938468"
32,"spotify:track:2uMNMcjjUz8oNIxjIu20qE","SEKAI NO OWARI","Habit","Universal Music LLC",2,33,35,"932002"
33,"spotify:track:5MqZFxSAGTKqnUbBVLlkM5","yangskinny","本当はね、","ヤンスキ",8,26,11,"928554"
34,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,34,44,"900950"
35,"spotify:track:39HrUxcvKF3jtLz7fUDWXc","Hikaru Utada","First Love","Universal Music LLC",16,25,65,"893919"
36,"spotify:track:78MS9OT9Flm2V78fhTw4rk","Ado","逆光","Universal Music LLC",2,35,25,"869154"
37,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",22,42,140,"858664"
