rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0kdqcbwei4MDWFEX5f33yG","Creepy Nuts","Bling-Bang-Bang-Born","Sony Music Labels Inc.",1,1,13,"4606791"
2,"spotify:track:4dmruTsdHIOjfOIeaFitXK","Omoinotake","幾億光年","Sony Music Labels Inc.",2,2,10,"2812063"
3,"spotify:track:3jNwPOqdPvQIr5dRT0hzgY","Vaundy","タイムパラドックス","SDR Inc.",3,3,13,"2460769"
4,"spotify:track:1aKvZDoLGkNMxoRYgkckZG","ILLIT","Magnetic","BELIFT LAB",4,51,2,"2323206"
5,"spotify:track:2cxcqKwQtfKq7giphxjzOu","tuki.","晩餐歌 - Bansanka","月面着陸計画",2,5,27,"2309650"
6,"spotify:track:5glPFBAuA1C85tBcVWVzvO","Fujii Kaze","満ちてゆく","Universal Music LLC",3,4,3,"2189502"
7,"spotify:track:0teqQ0PYqVDyyXJuPOyMhu","Mrs. GREEN APPLE","ケセラセラ","Universal Music LLC",3,7,50,"1718313"
8,"spotify:track:1hAloWiinXLPQUJxrJReb1","YOASOBI","アイドル","YOASOBI",1,6,52,"1684547"
9,"spotify:track:6M6ZNRplLNspFEn6Ab3mOv","SPYAIR","オレンジ","Sony Music Labels Inc.",6,8,7,"1655699"
10,"spotify:track:38Ypb7FJIGVovqqQO2Yu5S","Creepy Nuts","二度寝 - Nidone","Sony Music Labels Inc.",10,16,9,"1615915"
11,"spotify:track:5eY7692tmgHB9dbmq6wa2M","Yorushika","晴る","Universal Music LLC",8,9,13,"1613945"
12,"spotify:track:096KHkONhQm4MQNH35mU22","TOMONARI SORA","鬼ノ宴","cutting edge",10,10,10,"1604893"
13,"spotify:track:7dTW21YAJxnAOiUh7Rtu9S","Vaundy","怪獣の花唄","SDR Inc.",1,12,175,"1527033"
14,"spotify:track:5LkmpgQYtwHtuvASgnLBe1","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,11,97,"1513935"
15,"spotify:track:170XOP1T4MvY9TLTgPw07D","Mrs. GREEN APPLE","Magic","Universal Music LLC",4,13,43,"1386072"
16,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,14,38,"1305013"
17,"spotify:track:3wJHCry960drNlAUGrJLmz","Yorushika","ただ君に晴れ","U&R records",12,18,258,"1271024"
18,"spotify:track:0YTM7bCx451c6LQbkddy4Q","YOASOBI","勇者","YOASOBI",5,20,27,"1256288"
19,"spotify:track:7o0TPSw494RG2Q4iWmd1v6","Ado","唱","UME - Global Clearing House",1,15,30,"1251757"
20,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",6,21,299,"1234699"
21,"spotify:track:3YML5IHoqWbw9c9vJJvrvM","Mrs. GREEN APPLE","Soranji","Universal Music LLC",11,17,76,"1233333"
22,"spotify:track:0OeTb9sIQTNq313HQHv9TM","Mrs. GREEN APPLE","春愁","Universal Music LLC",16,19,209,"1204407"
23,"spotify:track:2jdbZGFp8KVTuk0YxDNL4l","back number","高嶺の花子さん","Universal Music LLC",8,22,266,"1175180"
24,"spotify:track:2O4Bb2WCkjlTPO827OnBMI","LE SSERAFIM","EASY","SOURCE MUSIC",19,33,7,"1163829"
25,"spotify:track:74X2u8JMVooG2QbjRxXwR8","LE SSERAFIM","Perfect Night","SOURCE MUSIC",7,23,23,"1147015"
26,"spotify:track:1H3qOzheTPhE7aVvJOWfvA","SPITZ","美しい鰭","Universal Music LLC",2,25,52,"1146620"
27,"spotify:track:3RvdkNMcSy71m0aT6UF9Uf","back number","水平線","Universal Music LLC",1,27,138,"1135870"
28,"spotify:track:7sditHCsoFw3nHnjFv1BHV","Mrs. GREEN APPLE","ナハトムジーク","Universal Music LLC",4,26,12,"1123554"
29,"spotify:track:0GWNtMohuYUEHVZ40tcnHF","King Gnu","SPECIALZ","Sony Music Labels Inc.",1,24,31,"1120402"
30,"spotify:track:6nIoYpfSvie3Ln46dyi8FC","back number","冬と春","Universal Music LLC",7,29,11,"1110063"
31,"spotify:track:7M0dIdZWN1FDcveRdoOzbZ","Yuuri","ビリミリオン","Sony Music Labels Inc.",5,30,63,"1099865"
32,"spotify:track:18mkDTCwDfZyTJNYieHxhQ","Number_i","GOAT","TOBE MUSIC",5,28,14,"1097211"
33,"spotify:track:0JcI7OdALbpSFkyKoufRYs","Mrs. GREEN APPLE","ロマンチシズム","Universal Music LLC",23,32,214,"1080536"
34,"spotify:track:2EmkTBTh964LQen4Vz0svg","Ryokuoushoku Shakai","花になって - Be a flower","Sony Music Labels Inc.",8,31,22,"1061345"
35,"spotify:track:5RIQU2JDuXC4NkLiHNNMon","Fujii Kaze","花","Universal Music LLC",7,34,25,"1061258"
36,"spotify:track:49F3htNmwzPKFycPdOrDvf","OFFICIAL HIGE DANDISM","Subtitle","IRORI Records",1,35,78,"1045944"
37,"spotify:track:5qqqgLXECWbgaKLlq4YWkS","noa","全方向美少女","乃紫",19,42,13,"1031867"
38,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,37,119,"984405"
39,"spotify:track:5m21ZR5lO6U0tp9KENxuCc","MY FIRST STORY","I'm a mess","INTACT RECORDS",6,40,54,"980595"
